order_id,date,customer_id,product_name,category,quantity,unit_price,total_price,region,payment_method
1001,2024-01-05,C001,Laptop Pro,Electronics,1,1299.99,1299.99,North,Credit Card
1002,2024-01-05,C002,Wireless Mouse,Electronics,2,29.99,59.98,South,PayPal
1003,2024-01-06,C003,Office Chair,Furniture,1,349.00,349.00,East,Credit Card
1004,2024-01-07,C001,USB Hub,Electronics,1,49.99,49.99,North,Credit Card
1005,2024-01-08,C004,Standing Desk,Furniture,1,599.00,599.00,West,Debit Card
1006,2024-01-08,C005,Keyboard Mechanical,Electronics,1,149.99,149.99,North,Credit Card
1007,2024-01-09,C002,Monitor 27in,Electronics,1,399.99,399.99,South,PayPal
1008,2024-01-10,C006,Desk Lamp LED,Furniture,2,79.00,158.00,East,Cash
1009,2024-01-10,C003,Webcam HD,Electronics,1,89.99,89.99,East,Credit Card
1010,2024-01-11,C007,Headphones Wireless,Electronics,1,199.99,199.99,West,Debit Card
1011,2024-01-12,C008,Notebook Stand,Furniture,1,59.99,59.99,North,Credit Card
1012,2024-01-12,C004,External SSD 1TB,Electronics,2,129.99,259.98,West,Debit Card
1013,2024-01-13,C009,Ergonomic Mouse,Electronics,1,79.99,79.99,South,PayPal
1014,2024-01-14,C010,Filing Cabinet,Furniture,1,249.00,249.00,East,Credit Card
1015,2024-01-15,C001,Laptop Stand,Furniture,1,89.99,89.99,North,Credit Card
1016,2024-01-15,C011,Tablet 10in,Electronics,1,449.00,449.00,West,Credit Card
1017,2024-01-16,C012,USB-C Cable Pack,Electronics,3,19.99,59.97,South,Cash
1018,2024-01-17,C002,Desk Organizer,Furniture,1,39.99,39.99,South,PayPal
1019,2024-01-18,C013,Bluetooth Speaker,Electronics,1,129.00,129.00,North,Credit Card
1020,2024-01-18,C014,Whiteboard Large,Furniture,1,179.00,179.00,East,Debit Card
1021,2024-01-19,C015,Power Bank 20000mAh,Electronics,2,59.99,119.98,West,Credit Card
1022,2024-01-20,C006,Footrest Ergonomic,Furniture,1,69.00,69.00,East,Cash
1023,2024-01-21,C016,Printer Inkjet,Electronics,1,199.00,199.00,North,Credit Card
1024,2024-01-22,C017,Bookshelf 5-Tier,Furniture,1,149.99,149.99,South,Debit Card
1025,2024-01-22,C003,Surge Protector,Electronics,2,34.99,69.98,East,Credit Card
1026,2024-01-23,C018,Mouse Pad XL,Electronics,1,24.99,24.99,West,PayPal
1027,2024-01-24,C019,Task Chair Basic,Furniture,1,199.00,199.00,North,Credit Card
1028,2024-01-25,C020,Microphone USB,Electronics,1,119.99,119.99,South,Credit Card
1029,2024-01-25,C010,Cabinet Lock,Furniture,3,29.99,89.97,East,Cash
1030,2024-01-26,C008,Smart Watch,Electronics,1,299.99,299.99,East,Credit Card
